Year, Title, Date Granted, Date Argued, Date Decided
2019, "New York State Rifle & Pistol Association Inc. v. City of New York", 1548136800, 1575266400, 1587963600
2019, "County of Maui, Hawaii v. Hawaii Wildlife Fund", 1550556000, 1573020000, 1587618000
2019, "Rotkiske v. Klemm", 1551074400, 1571202000, 1575957600
2019, "Peter v. NantKwest, Inc.", 1551679200, 1570424400, 1576130400
2019, "Kansas v. Garcia", 1552885200, 1571202000, 1583301600
2019, "Mathena v. Malvo", 1552885200, 1571202000, 1582696800
2019, "Ramos v. Louisiana", 1552885200, 1570424400, 1587358800
2019, "Kahler v. Kansas", 1552885200, 1570424400, 1584939600
2019, "Kansas v. Glover", 1554094800, 1572847200, 1586149200
2019, "Altitude Express v. Zarda", 1555909200, 1570510800, 1592197200
2019, "Bostock v. Clayton County", 1555909200, 1570510800, 1592197200
2019, "Barton v. Barr", 1555909200, 1572847200, 1587618000
2019, "CITGO Asphalt Refining Co. v. Frescati Shipping Co.", 1555909200, 1572933600, 1585544400
2019, "R.G. & G.R. Harris Funeral Homes Inc. v. Equal Employment Opportunity Commission", 1555909200, 1570510800, 1592197200
2019, "Allen v. Cooper", 1559538000, 1572933600, 1584939600
2019, "Holguin-Hernandez v. United States", 1559538000, 1575957600, 1582696800
2019, "Retirement Plans Committee of IBM v. Jander", 1559538000, 1573020000, 1578981600
2019, "Atlantic Richfield Co. v. Christian, et al.", 1560142800, 1575352800, 1587358800
2019, "McKinney v. Arizona", 1560142800, 1576044000, 1582610400
2019, "Intel Corp. Investment Policy Committee v. Sulyma", 1560142800, 1575439200, 1582696800
2019, "Monasky v. Taglieri", 1560142800, 1576044000, 1582610400
2019, "Comcast Corp. v. National Association of African American-Owned Media", 1560142800, 1573624800, 1584939600
2019, "Ritzen Group, Inc. v. Jackson Masonry, LLC", 1558328400, 1573624800, 1578981600
2019, "Guerrero-Lasprilla v. Barr", 1561352400, 1575871200, 1584939600
2019, "Thryv, Inc. v. Click-To-Call Technologies, LP", 1561352400, 1575871200, 1587358800
2019, "Maine Community Health Options v. United States", 1561352400, 1575957600, 1587963600
2019, "Georgia v. Public.Resource.Org Inc.", 1561352400, 1575266400, 1587963600
2019, "Banister v. Davis", 1561352400, 1575439200, 1590987600
2019, "Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC", 1561006800, 1571115600, 1590987600
2019, "Opati v. Republic of Sudan", 1561698000, 1582524000,  
2019, "Thole v. U.S. Bank, N.A.", 1561698000, 1578895200, 1590987600
2019, "Babb v. Wilkie", 1561698000, 1579068000, 1586149200
2019, "GE Energy Power Conversion France SAS v. Outokumpu Stainless USA LLC", 1561698000, 1579586400, 1590987600
2019, "Kelly v. United States", 1561698000, 1578981600, 1588827600
2019, "Lucky Brand Dungarees Inc. v. Marcel Fashions Group Inc.", 1561698000, 1578895200, 1589432400
2019, "Espinoza v. Montana Department of Revenue", 1561698000, 1579672800, 1593493200
2019, "Romag Fasteners, Inc. v. Fossil, Inc.", 1561698000, 1578981600, 1587618000
2019, "Rodriguez v. Federal Deposit Insurance Corp.", 1561698000, 1575352800, 1582610400
2019, "Shular v. United States", 1561698000, 1579586400, 1582696800
2019, "Hernandez v. Mesa", 1559019600, 1573538400, 1582610400
2019, "Department of Homeland Security v. Regents of the University of California", 1561698000, 1573538400, 1592456400
2019, "June Medical Services LLC v. Russo", 1570165200, 1583301600, 1593406800
2019, "United States Forest Service v. Cowpasture River Preservation Association", 1570165200, 1582524000, 1592197200
2019, "United States v. Sineneng-Smith", 1570165200, 1582610400, 1588827600
2019, "Nasrallah v. Barr", 1571374800, 1583128800, 1590987600
2019, "Lomax v. Ortiz-Marquez", 1571374800, 1582696800, 1591592400
2019, "Seila Law LLC v. Consumer Financial Protection Bureau", 1571374800, 1583215200, 1593406800
2019, "Department of Homeland Security v. Thuraissigiam", 1571461200, 1583128800, 1593061200
2019, "Liu v. Securities and Exchange Commission", 1572584400, 1583215200, 1592802000
2019, "U.S. Patent and Trademark Office v. Booking.com B.V.", 1573192800, 1588568400, 1593493200
2019, "Walker v. United States", 1573797600, 1580104800
2019, "Thompson v. Hebdon", 1574661600, 1574661600
2019, "McGirt v. Oklahoma", 1576216800, 1589173200, 1594270800
2019, "Trump v. Mazars USA, LLP", 1576216800, 1589259600, 1594270800
2019, "Trump v. Vance", 1576216800, 1589259600, 1594270800
2019, "United States Agency for International Development v. Alliance for Open Society International, Inc.", 1576216800, 1588654800, 1593406800
2019, "Our Lady of Guadalupe School v. Morrissey-Berru", 1576648800, 1589173200, 1594184400
2019, "Barr v. American Association of Political Consultants Inc.", 1578636000, 1588741200, 1594011600
2019, "Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania", 1579240800, 1588741200, 1594184400
2019, "Chiafalo v. Washington", 1579240800, 1589346000, 1594011600
2019, "Colorado Department of State v. Baca", 1579240800, 1589346000, 1594011600
2020, "Google LLC v. Oracle America Inc.", 1573797600, 1602046800, 1617598800
2020, "United States v. Briggs", 1573797600, 1602565200, 1607580000
2020, "Tanzin v. Tanvir", 1574402400, 1601960400, 1607580000
2020, "Carney v. Adams", 1575612000, 1601874000, 1607580000
2020, "Torres v. Madrid", 1576648800, 1602651600, 1616648400
2020, "City of Chicago v. Fulton", 1576648800, 1602565200, 1610604000
2020, "Pereida v. Wilkinson", 1576648800, 1602651600, 1614837600
2020, "Rutledge v. Pharmaceutical Care Management Association", 1578636000, 1601960400
2020, "Salinas v. United States Railroad Retirement Board", 1578636000, 1604296800, 1612332000
2020, "Ford Motor Company v. Montana Eighth Judicial District Court", 1579240800, 1602046800, 1616648400
2020, "Fulton v. City of Philadelphia", 1582524000, 1604469600, 1623906000
2020, "U.S. Fish and Wildlife Service v. Sierra Club", 1583128800, 1604296800, 1614837600
2020, "Borden v. United States", 1583128800, 1604383200, 1623301200
2020, "California v. Texas", 1583128800, 1604988000, 1623906000
2020, "Jones v. Mississippi", 1583730000, 1604383200, 1619067600
2020, "Brownback v. King", 1585544400, 1604901600, 1614232800
2020, "Van Buren v. United States", 1587358800, 1606716000
2020, "Niz-Chavez v. Garland", 1591592400, 1604901600, 1619672400
2020, "CIC Services, LLC v. Internal Revenue Service", 1588568400, 1606802400, 1621227600
2020, "Edwards v. Vannoy", 1588568400, 1606888800, 1621227600
2020, "Johnson v. Guzman Chavez", 1592197200, 1610344800, 1624942800
2020, "Henry Schein Inc. v. Archer and White Sales Inc.", 1592197200, 1607407200, 1611554400
2020, "Collins v. Yellen", 1594270800, 1607493600, 1624424400
2020, "AMG Capital Management, LLC v. Federal Trade Commission", 1594270800, 1610517600, 1619067600
2020, "Facebook, Inc. v. Duguid", 1594270800, 1607407200, 1617253200
2020, "Uzuegbunam v. Preczewski", 1594270800, 1610431200, 1615183200
2020, "Department of Justice v. House Committee on the Judiciary", 1593666000
2020, "Federal Republic of Germany v. Philipp", 1593666000, 1607320800, 1612332000
2020, "Nestlé USA, Inc. v. Doe I", 1593666000, 1606802400, 1623906000
2020, "Republic of Hungary v. Simon", 1593666000, 1607320800, 1612332000
2020, "Texas v. New Mexico", 1601874000, 1607925600
2020, "Garland v. Dai", 1601614800, 1614060000, 1622523600
2020, "BP P.L.C. v. Mayor and City Council of Baltimore", 1601614800, 1611036000, 1621227600
2020, "FCC v. Prometheus Radio Project", 1601614800, 1611036000, 1617253200
2020, "Brnovich v. Democratic National Committee", 1601614800, 1614664800, 1625202000
2020, "United States v. Arthrex, Inc.", 1602565200, 1614578400, 1624251600
2020, "Mayorkas v. Innovation Law Lab", 1603083600
2020, "Trump v. Sierra Club", 1603083600
2020, "Lange v. California", 1603083600, 1614146400, 1624424400
2020, "Carr v. Saul", 1604901600, 1614751200, 1619067600
2020, "Cedar Point Nursery v. Hassid", 1605247200, 1616389200, 1624424400
2020, "Roman Catholic Diocese of Brooklyn v. Cuomo", 1606284000
2020, "Trump v. New York", 1600750800, 1606716000, 1608271200
2020, "Caniglia v. Strom", 1605852000, 1616562000, 1621227600
2020, "Goldman Sachs Group Inc. v. Arkansas Teacher Retirement System", 1607666400, 1616994000, 1624251600
2020, "TransUnion LLC v. Ramirez", 1608098400, 1617080400, 1624597200
2020, "National Collegiate Athletic Association v. Alston", 1608098400, 1617166800, 1624251600
2020, "Shinn v. Kayer", 1607925600, 1607925600
2020, "Americans for Prosperity v. Bonta", 1610085600, 1619413200, 1625115600
2020, "Greer v. United States", 1610085600, 1618894800, 1623646800
2020, "Mahanoy Area School District v. B.L.", 1610085600, 1619586000, 1624424400
2020, "Sanchez v. Mayorkas", 1610085600, 1618808400, 1623042000
2020, "San Antonio v. Hotels.com, L.P.", 1610085600, 1618981200, 1622091600
2020, "Guam v. United States", 1610085600, 1619413200, 1621832400
2020, "Minerva Surgical, Inc. v. Hologic, Inc.", 1610085600, 1618981200, 1624942800
2020, "United States v. Gary", 1610085600, 1618894800, 1623646800
2020, "HollyFrontier Cheyenne Refining LLC v. Renewable Fuels Association", 1610085600, 1619499600, 1624597200
2020, "Yellen v. Confederated Tribes of the Chehalis Reservation", 1610085600, 1618808400, 1624597200
2020, "Terry v. United States", 1610085600, 1620104400, 1623646800
2020, "United States v. Palomar-Santiago", 1610085600, 1619499600, 1621832400
2020, "Cochran v. Gresham", 1607061600
2020, "United States v. Cooley", 1605852000, 1616475600, 1622523600
2020, "Florida v. Georgia", 1380862800, 1613973600, 1617253200
2020, "PennEast Pipeline Co. v. New Jersey", 1612332000, 1619586000, 1624942800
