Year, Title, Date_Granted, Date_Argued, Date_Decided
2017, "Jennings v. Rodriguez", 2016-06-19, 2016-11-29, 2018-02-26
2017, "Sessions v. Dimaya", 2016-09-28, 2017-01-16, 2018-04-16
2017, "National Association of Manufacturers v. Department of Defense", 2017-01-12, 2017-10-10, 2018-01-21
2017, "Epic Systems Corp. v. Lewis", 2017-01-12, 2017-10-01, 2018-05-20
2017, "District of Columbia v. Wesby", 2017-01-18, 2017-10-03, 2018-01-21
2017, "Class v. United States", 2017-02-20, 2017-10-03, 2018-02-20
2017, "Artis v. District of Columbia", 2017-02-26, 2017-10-31, 2018-01-21
2017, "Hamer v. Neighborhood Housing Services of Chicago", 2017-02-26, 2017-10-09, 2017-11-07
2017, "Wilson v. Sellers", 2017-02-26, 2017-10-29, 2018-04-16
2017, "U.S. Bank National Association v. Village at Lakeridge, LLC", 2017-03-26, 2017-10-30, 2018-03-04
2017, "Leidos, Inc. v. Indiana Public Retirement System", 2017-03-26, 0, 0
2017, "Jesner v. Arab Bank, PLC", 2017-04-02, 2017-10-10, 2018-04-23
2017, "Ayestas v. Davis", 2017-04-02, 2017-10-29, 2018-03-20
2017, "Patchak v. Zinke", 2017-04-30, 2017-11-06, 2018-02-26
2017, "Merit Management Group v. FTI Consulting, Inc.", 2017-04-30, 2017-11-05, 2018-02-26
2017, "SAS Institute Inc. v. Iancu", 2017-05-21, 2017-11-26, 2018-04-23
2017, "Husted v. A. Philip Randolph Institute", 2017-05-29, 2018-01-09, 2018-06-10
2017, "Carpenter v. United States", 2017-06-04, 2017-11-28, 2018-06-21
2017, "Oil States Energy Services LLC v. Greene’s Energy Group, LLC", 2017-06-11, 2017-11-26, 2018-04-23
2017, "Gill v. Whitford", 0, 2017-10-02, 2018-06-17
2017, "Cyan, Inc. v. Beaver County Employees' Retirement Fund", 2017-06-26, 2017-11-27, 2018-03-20
2017, "Masterpiece Cakeshop, Ltd. v. Colorado Civil Rights Commission", 2017-06-25, 2017-12-04, 2018-06-03
2017, "Murphy v. National Collegiate Athletic Association", 2017-06-26, 2017-12-03, 2018-05-13
2017, "PEM Entities LLC v. Levin", 2017-06-26, 0, 0
2017, "Rubin v. Islamic Republic of Iran", 2017-06-26, 2017-12-03, 2018-02-20
2017, "Marinello v. United States", 2017-06-26, 2017-12-05, 2018-03-20
2017, "Digital Realty Trust, Inc. v. Somers", 2017-06-25, 2017-11-27, 2018-02-20
2017, "Murphy v. Smith", 2017-08-24, 2017-12-05, 2018-02-20
2017, "Byrd v. United States", 2017-09-27, 2018-01-08, 2018-05-13
2017, "City of Hays, Kansas v. Vogt", 2017-09-27, 2018-02-19, 2018-05-28
2017, "Collins v. Virginia", 2017-09-27, 2018-01-08, 2018-05-28
2017, "Dalmazzi v. United States", 2017-09-27, 2018-01-15, 2018-06-21
2017, "Encino Motorcars, LLC v. Navarro", 2017-09-27, 2018-01-16, 2018-04-01
2017, "Hall v. Hall", 2017-09-27, 2018-01-15, 2018-03-26
2017, "Janus v. American Federation of State, County, and Municipal Employees, Council 31", 2017-09-27, 2018-02-25, 2018-06-26
2017, "McCoy v. Louisiana", 2017-09-27, 2018-01-16, 2018-05-13
2017, "Rosales-Mireles v. United States", 2017-09-27, 2018-02-20, 2018-06-17
2017, "United States v. Microsoft Corporation", 2017-10-15, 2018-02-26, 2018-04-16
2017, "Dahda v. United States", 2017-10-15, 2018-02-20, 2018-05-13
2017, "Ohio v. American Express Co.", 2017-10-15, 2018-02-25, 2018-06-24
2017, "Currier v. Virginia", 2017-10-15, 2018-02-19, 2018-06-21
2017, "Florida v. Georgia", 2017-10-09, 2018-01-07, 2018-06-26
2017, "Texas v. New Mexico and Colorado", 2017-10-09, 2018-01-07, 2018-03-04
2017, "Trump v. International Refugee Assistance Project", 2017-06-25, 0, 2017-06-25
2017, "Dunn v. Madison", 2017-11-05, 0, 2017-11-05
2017, "Kernan v. Cuero", 2017-11-05, 0, 2017-11-05
2017, "National Institute of Family and Life Advocates v. Becerra", 2017-11-12, 2018-03-19, 2018-06-25
2017, "Lozman v. City of Riviera Beach, Florida", 2017-11-12, 2018-02-26, 2018-06-17
2017, "Minnesota Voters Alliance v. Mansky", 2017-11-12, 2018-02-27, 2018-06-13
2017, "Salt River Project Agricultural Improvement and Power District v. Tesla Energy Operations, Inc., fka SolarCity Corporation", 2017-11-30, 0, 0
2017, "Sveen v. Melin", 2017-12-07, 2018-03-18, 2018-06-10
2017, "Hughes v. United States", 2017-12-07, 2018-03-26, 2018-06-03
2017, "United States v. Sanchez-Gomez", 2017-12-07, 2018-03-25, 2018-05-13
2017, "Upper Skagit Indian Tribe v. Lundgren", 2017-12-07, 2018-03-20, 2018-05-20
2017, "China Agritech v. Resh", 2017-12-07, 2018-03-25, 2018-06-10
2017, "Koons v. United States", 2017-12-07, 2018-03-26, 2018-06-03
2017, "Benisek v. Lamone", 2017-12-07, 2018-03-27, 2018-06-17
2017, "Tharpe v. Sellers", 2018-01-07, 0, 2018-01-07
2017, "Abbott v. Perez", 2018-01-11, 2018-04-23, 2018-06-24
2017, "WesternGeco LLC v. ION Geophysical Corp.", 2018-01-11, 2018-04-15, 2018-06-21
2017, "Lamar, Archer & Cofrin, LLP v. Appling", 2018-01-11, 2018-04-16, 2018-06-03
2017, "Lagos v. United States", 2018-01-11, 2018-04-17, 2018-05-28
2017, "Lucia v. Securities and Exchange Commission", 2018-01-11, 2018-04-22, 2018-06-20
2017, "Washington v. United States", 2018-01-11, 2018-04-17, 2018-06-10
2017, "Pereira v. Sessions", 2018-01-11, 2018-04-22, 2018-06-20
2017, "South Dakota v. Wayfair, Inc.", 2018-01-11, 2018-04-16, 2018-06-20
2017, "Wisconsin Central Ltd. v. United States", 2018-01-11, 2018-04-15, 2018-06-20
2017, "Chavez-Meza v. United States", 2018-01-11, 2018-04-22, 2018-06-17
2017, "Trump v. Hawaii", 2018-01-18, 2018-04-24, 2018-06-25
2017, "Montana v. Wyoming", 2018-02-19, 0, 2018-02-19
2017, "CNH Industrial N.V. v. Reese", 2018-02-19, 0, 2018-02-19
2017, "Kisela v. Hughes", 2018-04-01, 0, 2018-04-01
2017, "Animal Science Products, Inc. v. Hebei Welcome Pharmaceutical Co. Ltd.", 2018-01-11, 2018-04-23, 2018-06-13
2017, "Azar v. Garza", 2018-06-03, 0, 2018-06-03
2017, "Ortiz v. United States", 2017-09-27, 2018-01-15, 2018-06-21
2017, "Cox v. United States", 2017-09-27, 2018-01-15, 2018-06-21
2017, "North Carolina v. Covington", 0, 0, 2018-06-27
2017, "Sexton v. Beaudreaux", 2018-06-27, 0, 2018-06-27
2017, "Sause v. Bauer", 2018-06-27, 0, 2018-06-27
2018, "Weyerhaeuser Company v. United States Fish and Wildlife Service", 2018-01-21, 2018-09-30, 2018-11-26
2018, "Knick v. Township of Scott, Pennsylvania", 2018-03-04, 2018-10-02, 2019-06-20
2018, "Gundy v. United States", 2018-03-04, 2018-10-01, 2019-06-19
2018, "Nielsen v. Preap", 2018-03-18, 2018-10-09, 2019-03-18
2018, "Stokeling v. United States", 2018-04-01, 2018-10-08, 2019-01-14
2018, "United States v. Stitt", 2018-04-22, 2018-10-08, 2018-12-09
2018, "Frank v. Gaos", 2018-04-29, 2018-10-30, 2019-03-19
2018, "Lamps Plus, Inc. v. Varela", 2018-04-29, 2018-10-28, 2019-04-23
2018, "Bucklew v. Precythe", 2018-04-29, 2018-11-05, 2019-03-31
2018, "New Prime Inc. v. Oliveira", 2018-02-25, 2018-10-02, 2019-01-14
2018, "Mount Lemmon Fire District v. Guido", 2018-02-25, 2018-09-30, 2018-11-05
2018, "Madison v. Alabama", 2018-02-25, 2018-10-01, 2019-02-26
2018, "BNSF Railway Co. v. Loos", 2018-05-13, 2018-11-05, 2019-03-03
2018, "Air and Liquid Systems Corp. v. Devries", 2018-05-13, 2018-10-09, 2019-03-18
2018, "Culbertson v. Berryhill", 2018-05-20, 2018-11-06, 2019-01-07
2018, "Carpenter v. Murphy", 2018-05-20, 2018-11-26, 0
2018, "Jam v. International Finance Corp.", 2018-05-20, 2018-10-30, 2019-02-26
2018, "Virginia Uranium, Inc. v. Warren", 2018-05-20, 2018-11-04, 2019-06-16
2018, "Apple v. Pepper", 2018-06-17, 2018-11-25, 2019-05-12
2018, "Garza v. Idaho", 2018-06-17, 2018-10-29, 2019-02-26
